,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers,t_stat,p_value
151,1,0.7,1,M_M_1_K,2.001298886409935,1.9619304486154088,2.0406673242044615,6.454378806163569,16000,-418.27171569323605,0.0
152,1,0.7,1,M_M_1_K,2.0252884252038172,1.9891033704991212,2.0614734799085133,6.47530976965398,19000,-418.27171569323605,0.0
153,1,0.7,1,M_M_1_K,2.021226323280417,1.9712327268860792,2.071219919674755,6.504702372419937,10000,-418.27171569323605,0.0
154,1,0.7,1,M_M_1_K,1.958252371358094,1.913573345944338,2.00293139677185,6.234545888207526,12000,-418.27171569323605,0.0
155,1,0.7,1,M_M_1_K,2.0349378456277636,1.9922486470963323,2.0776270441591946,6.64037726585436,14000,-418.27171569323605,0.0
156,1,0.7,1,M_M_1_K,2.001298886409935,1.9619304486154088,2.0406673242044615,6.454378806163569,16000,-418.27171569323605,0.0
157,1,0.7,1,M_M_1_K,2.010723742464585,1.973628191484927,2.047819293444243,6.447057801312441,18000,-418.27171569323605,0.0
158,1,0.7,1,M_M_1_K,2.045906076896665,2.0103550862782837,2.0814570675150463,6.579375260040079,20000,-418.27171569323605,0.0
159,1,0.7,1,M_M_1_K,2.0437033835841008,2.009896668792068,2.0775100983761337,6.544623206977378,22000,-418.27171569323605,0.0
160,1,0.7,1,M_M_1_K,2.0372248000583406,2.0048133215826613,2.06963627853402,6.562494260324689,24000,-418.27171569323605,0.0
161,1,0.7,1,M_M_1_K,2.056589165093068,2.0253531045269697,2.087825225659166,6.603120776984959,26000,-418.27171569323605,0.0
162,1,0.7,1,M_M_1_K,2.040189744688396,2.0102908315572443,2.070088657819548,6.515310281905855,28000,-418.27171569323605,0.0
163,1,0.7,1,M_M_1_K,2.016739135062441,1.9880739588010412,2.045404311323841,6.416515686834355,30000,-418.27171569323605,0.0
164,1,0.7,1,M_M_1_K,2.0058654148814417,1.9782373852580255,2.033493444504858,6.358003566915397,32000,-418.27171569323605,0.0
165,1,0.7,1,M_M_1_K,2.008253688832502,1.9813134819452234,2.0351938957197806,6.4232328473397295,34000,-418.27171569323605,0.0
166,1,0.7,1,M_M_1_K,2.010034383999159,1.9837569192981972,2.0363118487001204,6.47059230794408,36000,-418.27171569323605,0.0
167,1,0.7,1,M_M_1_K,2.015797371122038,1.9901292859942543,2.041465456249822,6.516984518290754,38000,-418.27171569323605,0.0
168,1,0.7,1,M_M_1_K,1.5258185535375586,1.1287185409936615,1.9229185660814556,4.0051749424975265,100,-418.27171569323605,0.0
169,1,0.7,1,M_M_1_K,1.368136881246928,1.217331414315486,1.5189423481783697,3.537793002355352,600,-418.27171569323605,0.0
170,1,0.7,1,M_M_1_K,1.2709709704500043,1.164690514906509,1.3772514259934996,2.933307918843352,1000,-418.27171569323605,0.0
171,1,0.7,1,M_M_1_K,2.1846405081020803,2.0945429289943966,2.274738087209764,8.44747901034356,4000,-418.27171569323605,0.0
172,1,0.7,1,M_M_1_K,2.013341497538422,1.9488848663870102,2.077798128689834,7.5680996762005375,7000,-418.27171569323605,0.0
173,1,0.7,1,M_M_1_K,1.951333462077091,1.8997715075896922,2.00289541656449,6.919224354378004,10000,-418.27171569323605,0.0
174,1,0.7,1,M_M_1_K,2.0122043211617413,1.9666842037044976,2.057724438618985,7.010888149071931,13000,-418.27171569323605,0.0
175,1,0.7,1,M_M_1_K,1.9932203942475815,1.9522986274510312,2.0341421610441315,6.973757467662419,16000,-418.27171569323605,0.0
176,1,0.7,1,M_M_1_K,2.0056457035010236,1.9684695475298302,2.042821859472217,6.834882380246009,19000,-418.27171569323605,0.0
177,1,0.7,1,M_M_1_K,1.951333462077091,1.8997715075896922,2.00289541656449,6.919224354378004,10000,-418.27171569323605,0.0
178,1,0.7,1,M_M_1_K,1.9937365014698947,1.946705307456062,2.0407676954837273,6.908272378893307,12000,-418.27171569323605,0.0
179,1,0.7,1,M_M_1_K,1.9864730340288546,1.9429720980841243,2.029973969973585,6.895312506142738,14000,-418.27171569323605,0.0
180,1,0.7,1,M_M_1_K,1.9932203942475815,1.9522986274510312,2.0341421610441315,6.973757467662419,16000,-418.27171569323605,0.0
181,1,0.7,1,M_M_1_K,2.0164758908146436,1.9779344527006124,2.055017328928675,6.959431157026349,18000,-418.27171569323605,0.0
182,1,0.7,1,M_M_1_K,2.02058453395421,1.9843541299319605,2.0568149379764598,6.8332545333889385,20000,-418.27171569323605,0.0
183,1,0.7,1,M_M_1_K,2.0593994916210447,2.024202714712308,2.0945962685297816,7.09389080931104,22000,-418.27171569323605,0.0
184,1,0.7,1,M_M_1_K,2.0907809981013137,2.0569187532180866,2.1246432429845408,7.163128538544644,24000,-418.27171569323605,0.0
185,1,0.7,1,M_M_1_K,2.1054898564786773,2.0726109303650717,2.138368782592283,7.315971028208504,26000,-418.27171569323605,0.0
186,1,0.7,1,M_M_1_K,2.1046764948249477,2.0730265330276674,2.136326456622228,7.300803854198639,28000,-418.27171569323605,0.0
187,1,0.7,1,M_M_1_K,2.0821785850736325,2.0518200877103445,2.1125370824369205,7.196984554630187,30000,-418.27171569323605,0.0
188,1,0.7,1,M_M_1_K,2.0610975822489603,2.0319319826013134,2.0902631818966073,7.08537370457314,32000,-418.27171569323605,0.0
189,1,0.7,1,M_M_1_K,2.0653516398189993,2.0371095303546474,2.093593749283351,7.059047051664034,34000,-418.27171569323605,0.0
190,1,0.7,1,M_M_1_K,2.0928854634309846,2.065208128829921,2.120562798032048,7.178366742179722,36000,-418.27171569323605,0.0
191,1,0.7,1,M_M_1_K,2.111719611430727,2.0846138643712506,2.138825358490203,7.267457656679191,38000,-418.27171569323605,0.0
192,1,0.7,1,M_M_1_K,1.9591022006755665,1.5017475645524496,2.4164568367986834,5.3128537437447045,100,-418.27171569323605,0.0
193,1,0.7,1,M_M_1_K,2.080466247524585,1.8805231993647098,2.2804092956844606,6.218861211968076,600,-418.27171569323605,0.0
194,1,0.7,1,M_M_1_K,1.9245978268686594,1.7775863530538891,2.0716093006834297,5.612460573378946,1000,-418.27171569323605,0.0
195,1,0.7,1,M_M_1_K,2.0840458986403716,2.0025086177874836,2.1655831794932596,6.9185220009805555,4000,-418.27171569323605,0.0
196,1,0.7,1,M_M_1_K,1.9815009839205173,1.9229736019915262,2.0400283658495084,6.239787962215551,7000,-418.27171569323605,0.0
197,1,0.7,1,M_M_1_K,2.0386387342468466,1.9886116344275309,2.088665834066162,6.513423602615873,10000,-418.27171569323605,0.0
198,1,0.7,1,M_M_1_K,1.987024948884917,1.9437387268490476,2.030311170920786,6.339655461246207,13000,-418.27171569323605,0.0
199,1,0.7,1,M_M_1_K,1.956458333862923,1.9181794272929908,1.994737240432855,6.102069288955305,16000,-418.27171569323605,0.0
200,1,0.7,1,M_M_1_K,1.9163247542321837,1.8815691990300143,1.9510803094343532,5.973798139616029,19000,-418.27171569323605,0.0
