,n,rho,mu,distribution,mean_waiting_time,std_dev,ci_lower,ci_upper,variance,number_of_customers
116,2,0.7,1,M_M_N,1.0458934060789515,1.589029147706017,1.0284824991904766,1.0633043129674264,2.5250136322593106,32000
117,2,0.7,1,M_M_N,1.0286932173344976,1.5683877782514495,1.0120216073049697,1.0453648273640255,2.4598402229685177,34000
118,2,0.7,1,M_M_N,1.0041097668000618,1.5447414743333856,0.9881521787384272,1.0200673548616965,2.3862262225256816,36000
119,2,0.7,1,M_M_N,1.0005818986585697,1.5399192050168737,0.9850984370502339,1.0160653602669056,2.3713511579798006,38000
120,2,0.8,1,M_M_N,0.37162693992425294,0.5044219293850571,0.2715386856243983,0.47171519422410757,0.25444148284454354,100
121,2,0.8,1,M_M_N,1.328228330770024,1.636261812453523,1.1970374429264263,1.4594192186136217,2.6773527188936885,600
122,2,0.8,1,M_M_N,1.2726617777789007,1.606827849026528,1.1729505807273193,1.372372974830482,2.5818957364072186,1000
123,2,0.8,1,M_M_N,1.4884735147039305,1.8240771757294512,1.431928701949528,1.5450183274583331,3.327257543017131,4000
124,2,0.8,1,M_M_N,1.6559289229623229,2.061785927923874,1.6076210681132292,1.7042367778114165,4.250961212584912,7000
125,2,0.8,1,M_M_N,1.5783839485242483,1.9851648806024376,1.5394707214497119,1.6172971755987848,3.9408796031772906,10000
126,2,0.8,1,M_M_N,1.725421462166166,2.184994598878967,1.6878578608450632,1.762985063487269,4.774201397130257,13000
127,2,0.8,1,M_M_N,1.8087602169294268,2.2958098382902623,1.773184237198084,1.8443361966607696,5.270742813590361,16000
128,2,0.8,1,M_M_N,1.7703461328402317,2.2569619667913603,1.73825218078351,1.8024400848969533,5.093877319542725,19000
129,2,0.8,1,M_M_N,1.5783839485242483,1.9851648806024376,1.5394707214497119,1.6172971755987848,3.9408796031772906,10000
130,2,0.8,1,M_M_N,1.6810257823247439,2.145020832074613,1.642643323501969,1.7194082411475187,4.6011143700340655,12000
131,2,0.8,1,M_M_N,1.7596836832112541,2.2479878157191124,1.7224431768747197,1.7969241895477885,5.053449219621585,14000
132,2,0.8,1,M_M_N,1.8087602169294268,2.2958098382902623,1.773184237198084,1.8443361966607696,5.270742813590361,16000
133,2,0.8,1,M_M_N,1.8022923036822474,2.2869078381801904,1.7688812857804042,1.8357033215840906,5.229947460329991,18000
134,2,0.8,1,M_M_N,1.7464997167166454,2.2270868673408173,1.7156325665336407,1.77736686689965,4.959915914681935,20000
135,2,0.8,1,M_M_N,1.6924746808945976,2.1733606429809433,1.6637541512931566,1.7211952104960386,4.72349648445854,22000
136,2,0.8,1,M_M_N,1.656536440022112,2.128256834585126,1.6296094127235836,1.6834634673206406,4.5294771539583,24000
137,2,0.8,1,M_M_N,1.6503190571337394,2.135953113243787,1.6243549524829646,1.6762831617845142,4.562295701975826,26000
138,2,0.8,1,M_M_N,1.6320299159292393,2.108435123648084,1.6073326946924356,1.656727137166043,4.44549867063291,28000
139,2,0.8,1,M_M_N,1.6398853695058937,2.104817148810559,1.6160665979101752,1.6637041411016122,4.430255229927011,30000
140,2,0.8,1,M_M_N,1.6210333483196153,2.0837950471466047,1.5982013180872492,1.6438653785519814,4.342201798512721,32000
