,n,rho,mu,distribution,mean_waiting_time,std_dev,ci_lower,ci_upper,variance,number_of_customers
137,2,0.8,1,M_D_N,0.9655758589918576,1.2678931265555047,0.9501636715146281,0.9809880464690871,1.6075529803666928,26000
138,2,0.8,1,M_D_N,0.9560032854574695,1.2529553688352721,0.9413267532763775,0.9706798176385615,1.569897156293133,28000
139,2,0.8,1,M_D_N,0.9336707721934523,1.2296960659500251,0.9197551454875557,0.9475863988993489,1.5121524146129683,30000
140,2,0.8,1,M_D_N,0.9403569292678158,1.2337909197602015,0.9268383485326529,0.9538755100029787,1.5222400336827238,32000
141,2,0.8,1,M_D_N,0.9288739816911745,1.2184820290218117,0.9159217912332209,0.9418261721491281,1.4846984550491114,34000
142,2,0.8,1,M_D_N,0.9546701308881302,1.26846131725096,0.9415665899337811,0.9677736718424794,1.6089941133620405,36000
143,2,0.8,1,M_D_N,0.9433335063003431,1.252044797284283,0.9307445422251431,0.955922470375543,1.5676161744066415,38000
144,2,0.9,1,M_D_N,1.5535378533788633,1.0278523022556338,1.3495896572005779,1.7574860495571487,1.056480355252207,100
145,2,0.9,1,M_D_N,0.9891068112825061,0.9240827502314997,0.9150164453513709,1.0631971772136413,0.8539289292754122,600
146,2,0.9,1,M_D_N,2.5760126728989827,2.7730173182832694,2.4039339549340775,2.748091390863888,7.689625047498934,1000
147,2,0.9,1,M_D_N,2.0127445817664853,2.088176932371025,1.9480129052727186,2.077476258260252,4.360482900886465,4000
148,2,0.9,1,M_D_N,2.01129032925174,2.0453699738276745,1.9633671018835834,2.0592135566198966,4.183538329835821,7000
149,2,0.9,1,M_D_N,2.162828790518812,2.2009099106442234,2.119686526639196,2.205971054398428,4.844004434771964,10000
150,2,0.9,1,M_D_N,2.1834875235788687,2.274055596223263,2.1443928192521944,2.222582227905543,5.17132885471434,13000
151,2,0.9,1,M_D_N,2.2434342138064447,2.3954749142533083,2.2063138192619722,2.280554608350917,5.738300064816895,16000
152,2,0.9,1,M_D_N,2.2400119100293523,2.4224748127949467,2.205564368757318,2.2744594513013867,5.868384218625911,19000
153,2,0.9,1,M_D_N,2.162828790518812,2.2009099106442234,2.119686526639196,2.205971054398428,4.844004434771964,10000
154,2,0.9,1,M_D_N,2.101286426765611,2.156441544283188,2.062699608614704,2.139873244916518,4.65024013391046,12000
155,2,0.9,1,M_D_N,2.1777165773312555,2.2635591256059464,2.1402181143187753,2.2152150403437356,5.123699915113957,14000
156,2,0.9,1,M_D_N,2.2434342138064447,2.3954749142533083,2.2063138192619722,2.280554608350917,5.738300064816895,16000
157,2,0.9,1,M_D_N,2.293702160350571,2.454374956608506,2.2578444995196314,2.329559821181511,6.023956427627004,18000
